patches,dictionary,dict/patches,dictionary-patches
patches-own,dictionary,dict/patches-own,dictionary-patches-own
pcolor,dictionary,dict/pcolor,dictionary-pcolor
pen-down,dictionary,dict/pen-switch-status,dictionary-pen-switch-status
pd,dictionary,dict/pen-switch-status,dictionary-pen-switch-status
pen-erase,dictionary,dict/pen-switch-status,dictionary-pen-switch-status
pe,dictionary,dict/pen-switch-status,dictionary-pen-switch-status
pen-up,dictionary,dict/pen-switch-status,dictionary-pen-switch-status
pu,dictionary,dict/pen-switch-status,dictionary-pen-switch-status
pen-mode,dictionary,dict/pen-mode,dictionary-pen-mode
pen-size,dictionary,dict/pen-size,dictionary-pen-size
plabel,dictionary,dict/plabel,dictionary-plabel
plabel-color,dictionary,dict/plabel-color,dictionary-plabel-color
plot,dictionary,dict/plot,dictionary-plot
plot-name,dictionary,dict/plot-name,dictionary-plot-name
plot-pen-exists?,dictionary,dict/plot-pen-exists,dictionary-plot-pen-exists
plot-pen-down,dictionary,dict/plot-pen-switch-status,dictionary-plot-pen-switch-status
plot-pen-up,dictionary,dict/plot-pen-switch-status,dictionary-plot-pen-switch-status
plot-pen-reset,dictionary,dict/plot-pen-reset,dictionary-plot-pen-reset
plotxy,dictionary,dict/plotxy,dictionary-plotxy
plot-x-min,dictionary,dict/plot-cor-max-or-min,dictionary-plot-cor-max-or-min
plot-x-max,dictionary,dict/plot-cor-max-or-min,dictionary-plot-cor-max-or-min
plot-y-min,dictionary,dict/plot-cor-max-or-min,dictionary-plot-cor-max-or-min
plot-y-max,dictionary,dict/plot-cor-max-or-min,dictionary-plot-cor-max-or-min
position,dictionary,dict/position,dictionary-position
precision,dictionary,dict/precision,dictionary-precision
print,dictionary,dict/print,dictionary-print
pxcor,dictionary,dict/pcor,dictionary-pcor
pycor,dictionary,dict/pcor,dictionary-pcor
random,dictionary,dict/random,dictionary-random
random-float,dictionary,dict/random-float,dictionary-random-float
random-exponential,dictionary,dict/random-reporters,dictionary-random-reporters
random-gamma,dictionary,dict/random-reporters,dictionary-random-reporters
random-normal,dictionary,dict/random-reporters,dictionary-random-reporters
random-poisson,dictionary,dict/random-reporters,dictionary-random-reporters
random-pxcor,dictionary,dict/random-pcor,dictionary-random-pcor
random-pycor,dictionary,dict/random-pcor,dictionary-random-pcor
random-seed,dictionary,dict/random-seed,dictionary-random-seed
random-xcor,dictionary,dict/random-cor,dictionary-random-cor
random-ycor,dictionary,dict/random-cor,dictionary-random-cor
range,dictionary,dict/range,dictionary-range
read-from-string,dictionary,dict/read-from-string,dictionary-read-from-string
reduce,dictionary,dict/reduce,dictionary-reduce
remainder,dictionary,dict/remainder,dictionary-remainder
remove,dictionary,dict/remove,dictionary-remove
remove-duplicates,dictionary,dict/remove-duplicates,dictionary-remove-duplicates
remove-item,dictionary,dict/remove-item,dictionary-remove-item
repeat,dictionary,dict/repeat,dictionary-repeat
replace-item,dictionary,dict/replace-item,dictionary-replace-item
report,dictionary,dict/report,dictionary-report
reset-perspective,dictionary,dict/reset-perspective,dictionary-reset-perspective
rp,dictionary,dict/reset-perspective,dictionary-reset-perspective
reset-ticks,dictionary,dict/reset-ticks,dictionary-reset-ticks
reset-timer,dictionary,dict/reset-timer,dictionary-reset-timer
resize-world,dictionary,dict/resize-world,dictionary-resize-world
reverse,dictionary,dict/reverse,dictionary-reverse
rgb,dictionary,dict/rgb,dictionary-rgb
ride,dictionary,dict/ride,dictionary-ride
ride-me,dictionary,dict/ride-me,dictionary-ride-me
right,dictionary,dict/right,dictionary-right
rt,dictionary,dict/right,dictionary-right
round,dictionary,dict/round,dictionary-round
run,dictionary,dict/run,dictionary-run
runresult,dictionary,dict/run,dictionary-run
scale-color,dictionary,dict/scale-color,dictionary-scale-color
self,dictionary,dict/self,dictionary-self
; (semicolon),dictionary,dict/semicolon,dictionary-semicolon
sentence,dictionary,dict/sentence,dictionary-sentence
se,dictionary,dict/sentence,dictionary-sentence
set,dictionary,dict/set,dictionary-set
set-current-directory,dictionary,dict/set-current-directory,dictionary-set-current-directory
set-current-plot,dictionary,dict/set-current-plot,dictionary-set-current-plot
set-current-plot-pen,dictionary,dict/set-current-plot-pen,dictionary-set-current-plot-pen
set-default-shape,dictionary,dict/set-default-shape,dictionary-set-default-shape
set-histogram-num-bars,dictionary,dict/set-histogram-num-bars,dictionary-set-histogram-num-bars
__set-line-thickness,dictionary,dict/set-line-thickness,dictionary-set-line-thickness
set-patch-size,dictionary,dict/set-patch-size,dictionary-set-patch-size
set-plot-background-color,dictionary,dict/set-plot-background-color,dictionary-set-plot-background-color
set-plot-pen-color,dictionary,dict/set-plot-pen-color,dictionary-set-plot-pen-color
set-plot-pen-interval,dictionary,dict/set-plot-pen-interval,dictionary-set-plot-pen-interval
set-plot-pen-mode,dictionary,dict/set-plot-pen-mode,dictionary-set-plot-pen-mode
setup-plots,dictionary,dict/setup-plots,dictionary-setup-plots
set-plot-x-range,dictionary,dict/set-plot-range,dictionary-set-plot-range
set-plot-y-range,dictionary,dict/set-plot-range,dictionary-set-plot-range
set-topology,dictionary,dict/set-topology,dictionary-set-topology
setxy,dictionary,dict/setxy,dictionary-setxy
shade-of?,dictionary,dict/shade-of,dictionary-shade-of
shape,dictionary,dict/shape,dictionary-shape
shapes,dictionary,dict/shapes,dictionary-shapes
show,dictionary,dict/show,dictionary-show
show-turtle,dictionary,dict/show-turtle,dictionary-show-turtle
st,dictionary,dict/show-turtle,dictionary-show-turtle
show-link,dictionary,dict/show-link,dictionary-show-link
shuffle,dictionary,dict/shuffle,dictionary-shuffle
sin,dictionary,dict/sin,dictionary-sin
size,dictionary,dict/size,dictionary-size
sort,dictionary,dict/sort,dictionary-sort
sort-by,dictionary,dict/sort-by,dictionary-sort-by
sort-on,dictionary,dict/sort-on,dictionary-sort-on
sprout,dictionary,dict/sprout,dictionary-sprout
sqrt,dictionary,dict/sqrt,dictionary-sqrt
stamp,dictionary,dict/stamp,dictionary-stamp
stamp-erase,dictionary,dict/stamp-erase,dictionary-stamp-erase
standard-deviation,dictionary,dict/standard-deviation,dictionary-standard-deviation
startup,dictionary,dict/startup,dictionary-startup
stop,dictionary,dict/stop,dictionary-stop
stop-inspecting,dictionary,dict/stop-inspecting,dictionary-stop-inspecting
stop-inspecting-dead-agents,dictionary,dict/stop-inspecting-dead-agents,dictionary-stop-inspecting-dead-agents
subject,dictionary,dict/subject,dictionary-subject
sublist,dictionary,dict/subliststring,dictionary-subliststring
substring,dictionary,dict/subliststring,dictionary-subliststring
subtract-headings,dictionary,dict/subtract-headings,dictionary-subtract-headings
sum,dictionary,dict/sum,dictionary-sum
tan,dictionary,dict/tan,dictionary-tan
thickness,dictionary,dict/thickness,dictionary-thickness
tick,dictionary,dict/tick,dictionary-tick
tick-advance,dictionary,dict/tick-advance,dictionary-tick-advance
ticks,dictionary,dict/ticks,dictionary-ticks
tie,dictionary,dict/tie,dictionary-tie
tie-mode,dictionary,dict/tie-mode,dictionary-tie-mode
timer,dictionary,dict/timer,dictionary-timer
to,dictionary,dict/to,dictionary-to
to-report,dictionary,dict/to-report,dictionary-to-report
towards,dictionary,dict/towards,dictionary-towards
towardsxy,dictionary,dict/towardsxy,dictionary-towardsxy
turtle,dictionary,dict/turtle,dictionary-turtle
turtle-set,dictionary,dict/turtle-set,dictionary-turtle-set
turtles,dictionary,dict/turtles,dictionary-turtles
